Move,Player,Before,After,Delta,Mistake
158,W,-3.3692876606633093,-5.730146493618075,2.3608588329547655,2
159,B,5.730146493618075,5.533579176122991,0.1965673174950835,0
160,W,-5.533579176122991,-5.656157472866048,0.12257829674305665,0
161,B,5.656157472866048,3.290171857204096,2.365985615661952,2
162,W,-3.290171857204096,-4.492255656541685,1.202083799337589,1
163,B,4.492255656541685,4.5216997738377085,-0.029444117296023364,0
164,W,-4.5216997738377085,-4.9148434615124135,0.393143687674705,0
165,B,4.9148434615124135,3.463762981903294,1.4510804796091197,1
166,W,-3.463762981903294,-6.400256533405283,2.9364935515019894,3
167,B,6.400256533405283,3.9575389176271547,2.4427176157781285,2
168,W,-3.9575389176271547,-4.55319177918719,0.5956528615600356,1
169,B,4.55319177918719,4.299907054390184,0.25328472479700626,0
170,W,-4.299907054390184,-4.911292158148484,0.6113851037583,1
171,B,4.911292158148484,4.024448780332788,0.8868433778156959,1
172,W,-4.024448780332788,-7.391049482250563,3.3666007019177746,3
173,B,7.391049482250563,4.87147860585386,2.5195708763967026,3
174,W,-4.87147860585386,-7.066762669482237,2.1952840636283772,2
175,B,7.066762669482237,2.1856191425112597,4.881143526970978,5
176,W,-2.1856191425112597,-4.589079124239326,2.4034599817280666,2
177,B,4.589079124239326,4.260597151589939,0.3284819726493877,0
178,W,-4.260597151589939,-4.5242784812412,0.263681329651261,0
179,B,4.5242784812412,4.1737083519446,0.3505701292965995,0
180,W,-4.1737083519446,-4.981825255622727,0.808116903678127,1
181,B,4.981825255622727,4.286484015186621,0.6953412404361066,1
182,W,-4.286484015186621,-4.77289394285442,0.48640992766779956,0
183,B,4.77289394285442,4.327851332729302,0.44504261012511837,0
184,W,-4.327851332729302,-5.2158074790823985,0.8879561463530967,1
185,B,5.2158074790823985,4.9187187907199625,0.29708868836243596,0
186,W,-4.9187187907199625,-8.390753804886046,3.4720350141660834,3
187,B,8.390753804886046,5.466936274536738,2.923817530349308,3
188,W,-5.466936274536738,-6.387001971607202,0.9200656970704646,1
189,B,6.387001971607202,6.269587152655553,0.11741481895164974,0
190,W,-6.269587152655553,-6.5569296119877745,0.2873424593322218,0
191,B,6.5569296119877745,2.1823103765825485,4.374619235405226,4
192,W,-2.1823103765825485,-2.142865736295606,-0.03944464028694261,0
193,B,2.142865736295606,2.1516391358470828,-0.008773399551476935,0
194,W,-2.1516391358470828,-3.1877720391051327,1.03613290325805,1
195,B,3.1877720391051327,3.141914918184445,0.045857120920687944,0
196,W,-3.141914918184445,-3.2028936718488605,0.06097875366441574,0
197,B,3.2028936718488605,3.2027753368230756,0.0001183350257849547,0
198,W,-3.2027753368230756,-3.251446653710426,0.04867131688735027,0
199,B,3.251446653710426,3.3045713821641103,-0.05312472845368443,0
200,W,-3.3045713821641103,-3.1916588920312803,-0.11291249013283,0
201,B,3.1916588920312803,3.2105985852764687,-0.018939693245188405,0
202,W,-3.2105985852764687,-3.6215767087773107,0.41097812350084206,0
203,B,3.6215767087773107,3.5815364073869462,0.04004030139036452,0
204,W,-3.5815364073869462,-3.591602312511894,0.010065905124947871,0
205,B,3.591602312511894,0.8559389295972171,2.735663382914677,3
206,W,-0.8559389295972171,-0.594827294700904,-0.26111163489631306,0
207,B,0.594827294700904,0.42094418862910093,0.17388310607180307,0
208,W,-0.42094418862910093,-0.4025016422307782,-0.018442546398322712,0
209,B,0.4025016422307782,0.3964740822412712,0.0060275599895070475,0
210,W,-0.3964740822412712,-0.3600709930060306,-0.03640308923524055,0
